138;Sports Illustrated for Kids - Football;Sram_v112;4194304;BAM!;1;Venom;2;9972779D;474A5E75;95C457ED;;138;;0
139;Boxing Fever;None;8388608;Majesco Sales;1;Lightforce;2;08A4FDC4;E1F6D871;A54B66AB;;139;;0
140;Gyakuten Saiban;Sram_v112;8388608;Capcom;7;Lightforce;256;C88F0952;35BDAAA0;0192ECA8;;140;;0
141;LEGO Island 2 - The Brickster's Revenge;Sram_v112;8388608;LEGO Media;0;Paradox;12507;C7B5D987;41F5AB6B;ABBEB65D;;141;;0
142;Lady Sia;Eeprom_v122;4194304;TDK;1;Mugs;4307;139E95BD;E2F44434;E37AF2F2;;142;;0
143;Minna de Puyo Puyo;Eeprom_v122;8388608;Sega;7;Eurasia;258;857FB1EF;2D1A9AA0;20C005CE;;143;;0
144;Total Soccer;Eeprom_v122;4194304;Ubi Soft;0;Quartex;4307;B94DDC93;68A3130B;4F082EB8;;144;;0
145;Denki Blocks!;Eeprom_v121;4194304;Denki;0;Quartex;4291;6144EC15;F4B79186;D307A37D;;145;;0
146;Prehistorik Man;None;4194304;Titus;16;Venom;4307;0D3B922B;1FC13775;0D4479F5;;146;;0
147;Hello Kitty Collection - Miracle Fashion Maker;Eeprom_v121;8388608;Imagineer;7;Lightforce;256;C8F4D874;4DDE7098;8D56D569;;147;;0
148;European Super League;None;4194304;Electronic Arts;0;Fett1;4291;748AD738;918C641F;BE81D32B;;148;;0
149;Phalanx - The Enforce Fighter A-144;Eeprom_v122;4194304;Kemco;7;Eurasia;256;5F419F32;271CCDDF;AFF8A5AC;;149;;0
150;Nakayoshi Mahjong - Kaburiichi;Sram_v112;4194304;Konami;7;NIL;256;D0C608F6;92A7EB50;4F219034;;150;;0
151;Hamster Monogatari 2 GBA;Sram_v110;8388608;Culture Brain;7;NIL;256;617724C5;9627A03A;7D5B6456;;151;;0
152;ESPN X-Games Skateboarding;Eeprom_v121;8388608;Konami;7;NIL;2;7ABD7E9A;3CA5E4E5;8A7B478A;;152;;0
